state_code,source,amap_code,urban,lga_code,LGA,ward_name,ward_code,global_id
EN,INEC,,0,14011,Nkanu East,Akpawfu/Isienu,ENSMGL11,d9d53f83-1edd-4b70-929e-a25db726b4fa
EN,INEC,,0,14008,Igbo-Eze North,Umuozzi 1,ENSENZ16,da402eda-e04a-4593-9553-5504c16bebf7
EN,INEC,,0,14007,Igbo-Etiti,Diogbe/Umunko,ENSGBO12,dba71d29-cf18-4605-9c1d-ddf53ab98cce
EN,INEC,,0,14006,Ezeagu,Umumba-Ndiuno,ENSAGW17,dbf88c90-98ed-4d10-b74e-4413e3124b61
EN,INEC,,0,14008,Igbo-Eze North,Ette 1,ENSENZ18,dd980c5f-6459-43d8-b4b3-83d0fc87ef85
EN,INEC,,0,14012,Nkanu West,Akegbe Ugwu 1,ENSAGN14,ddfd6657-479d-41b1-b35d-b5fb8fb3e9d2
EN,INEC,,0,14013,Nsukka,Ede Enu,ENSNSK12,de65b26f-37a6-4f71-a73f-c4ede57072dd
EN,INEC,,0,14007,Igbo-Etiti,Ozalla 2,ENSGBO10,df7e66fd-e246-48bc-8ade-359ee911bc6d
EN,INEC,,0,14013,Nsukka,Ejuona Uwani,ENSNSK08,e11ddd5e-a796-4fee-8b91-4516d9add845
EN,INEC,,0,14011,Nkanu East,Nkerefi 1,ENSMGL08,e2640586-cb9e-483f-8f2d-886c98482798
EN,INEC,,0,14016,Udi,Obioma,ENSUDD14,e61306ff-9c38-4f16-959a-59f360747cbe
EN,INEC,,0,14007,Igbo-Etiti,Ukehe 2,ENSGBO09,e3ee96e1-0181-4bcf-b5d5-e7bb5dc0b2ff
EN,INEC,,0,14012,Nkanu West,Agbani,ENSAGN12,e40f251c-b420-4fa0-8393-2812d04a95c3
EN,IPD_Campaign,,0,14017,Uzo-Uwani,Ukpata,ENSUMU03,e40f871e-eb7b-4224-8c33-49a98d955a03
EN,INEC,,0,14014,Oji-River,Achi-Agu 2,ENSJRV09,e4ceef4d-73d8-4a55-a949-396bca03542b
EN,INEC,,0,14013,Nsukka,Eha Ndiagu,ENSNSK17,e4dc779d-fda0-4d3d-861d-5e5fa5a6ae1a
EN,INEC,,0,14011,Nkanu East,Ihuokpora,ENSMGL03,e5df0529-cbe6-4e1e-a5f0-0a74dfff1270
EN,INEC,,0,14009,Igbo-Eze-South,Iheakpu-Awka 2/Ajuona,ENSBBG05,e82755e3-f823-4423-a048-81224f5d0343
EN,INEC,NIE ENS UWN,0,14005,Enugu South,Akwuke East,ENSUWN13,e86a5517-6e9c-4589-8322-b1eccae35573
EN,IPD_Campaign,,0,14017,Uzo-Uwani,Umulokpa,ENSUMU12,e883e2e1-6058-4525-91a9-3c4e182c9160
EN,INEC,,1,14004,Enugu North,Onu Asata,ENSENU11,e8f815e6-ff95-4973-a410-4293fceea945
EN,INEC,,0,14001,Aninri,Okpanku/Agbada,ENSDBR10,e9ee5ee4-2ff5-41d5-ad40-e66489404bee
EN,INEC,,0,14001,Aninri,Oduma 1,ENSDBR09,e9fd1823-3764-4edf-9290-b077a3294b7e
EN,INEC,,1,14003,Enugu East,Trans Ekulu,ENSNKW12,ea1fda86-bd66-46bf-a326-822ff2ee97c8
EN,INEC,,0,14012,Nkanu West,Umueze,ENSAGN03,ea2aace8-b9ac-4696-bebd-0a8af0457ddd
EN,INEC,,0,14016,Udi,Umulumgbe,ENSUDD20,ebabad61-001d-452e-b603-af89c070f284
EN,INEC,,0,14010,Isi-Uzo,Mbu 1,ENSKEM07,ed5e47b7-c600-4409-8010-8ccfeb10b686
EN,INEC,,0,14016,Udi,Egede/Umoka,ENSUDD07,ee032840-bff6-47c8-88bc-cc2e927014f1
EN,IPD_Campaign,,0,14017,Uzo-Uwani,Uvuru,ENSUMU07,ee1a59ae-2393-4fa7-bf1f-f41f2ce20760
EN,INEC,,1,14004,Enugu North,China Town,ENSENU02,eeae1c30-684a-4461-8919-cb66672d6bf7
EN,INEC,,1,14009,Igbo-Eze-South,Obukpa,ENSBBG17,f02270d0-bba2-4499-9e17-e60c80626ea3
EN,INEC,,0,14008,Igbo-Eze North,Umuozzi Ix,ENSENZ06,f075647c-6efe-453d-960a-a2ac1b16c62e
EN,INEC,,0,14006,Ezeagu,Umana Ndiuno,ENSAGW16,f283f47b-35e9-4f9d-8cae-e7e7c9b3f397
EN,INEC,,0,14010,Isi-Uzo,Umualor,ENSKEM11,f36c0ec8-4c9c-4cec-b0b1-ebae83229582
EN,INEC,,0,14014,Oji-River,Ugwuoba 2,ENSJRV06,fa75b05b-da23-441f-a5ba-ca09dca9c079
EN,INEC,,0,14006,Ezeagu,Obinofia-Ndiuno,ENSAGW09,f706211d-7e60-4f45-b4c5-d8199f17839e
EN,INEC,,0,14007,Igbo-Etiti,Umuna,ENSGBO02,f77ee2f7-e804-4b11-887e-a4bb9d7f198b
EN,INEC,,1,14003,Enugu East,Umuenwene/Obinagu-Iji,ENSNKW08,f8072e2d-3dc6-4bfe-8e43-6a09204d215a
EN,INEC,,0,14012,Nkanu West,Obinagu Uwani/Akpugo 1,ENSAGN08,f8d0541c-f2a5-454d-80a4-131ee3b5890a
EN,INEC,,0,14014,Oji-River,Achi-Agu 3,ENSJRV01,f91bfdbe-7002-41de-83ed-74c72e8d8790
